nom_standard,population,dep_nom,reg_nom,latitude_mairie,longitude_mairie
Saint-Gratien,21336,Val-d'Oise,Île-de-France,48.971,2.283
Saint-Cyr-l'École,21268,Yvelines,Île-de-France,48.8,2.067
Ozoir-la-Ferrière,21238,Seine-et-Marne,Île-de-France,48.762,2.672
Saint-Genis-Laval,21212,Rhône,Auvergne-Rhône-Alpes,45.698,4.794
Montaigu-Vendée,21134,Vendée,Pays de la Loire,46.974,-1.314
Le Plessis-Trévise,21112,Val-de-Marne,Île-de-France,48.809,2.573
Mons-en-Barœul,21105,Nord,Hauts-de-France,50.643,3.11
Plaisance-du-Touch,21079,Haute-Garonne,Occitanie,43.564,1.294
Saint-Mandé,21071,Val-de-Marne,Île-de-France,48.843,2.419
Bourg-la-Reine,21019,Hauts-de-Seine,Île-de-France,48.779,2.316
Villeneuve-le-Roi,21000,Val-de-Marne,Île-de-France,48.735,2.408
Carquefou,20921,Loire-Atlantique,Pays de la Loire,47.299,-1.493
Sceaux,20884,Hauts-de-Seine,Île-de-France,48.78,2.288
Concarneau,20845,Finistère,Bretagne,47.871,-3.919
Chaumont,20827,Haute-Marne,Grand Est,48.111,5.14
Lingolsheim,20826,Bas-Rhin,Grand Est,48.556,7.682
Carrières-sous-Poissy,20825,Yvelines,Île-de-France,48.944,2.034
Coudekerque-Branche,20787,Nord,Hauts-de-France,51.019,2.381
Wasquehal,20726,Nord,Hauts-de-France,50.669,3.131
Halluin,20715,Nord,Hauts-de-France,50.783,3.125
La Chapelle-sur-Erdre,20690,Loire-Atlantique,Pays de la Loire,47.299,-1.551
Denain,20665,Nord,Hauts-de-France,50.326,3.394
Cugnaux,20662,Haute-Garonne,Occitanie,43.537,1.345
Maurepas,20629,Yvelines,Île-de-France,48.762,1.945
Chaville,20594,Hauts-de-Seine,Île-de-France,48.81,2.188
Croix,20566,Nord,Hauts-de-France,50.68,3.156
Bouguenais,20530,Loire-Atlantique,Pays de la Loire,47.179,-1.619
Joinville-le-Pont,20525,Val-de-Marne,Île-de-France,48.818,2.467
Le Creusot,20509,Saône-et-Loire,Bourgogne-Franche-Comté,46.805,4.428
Forbach,20493,Moselle,Grand Est,49.186,6.896
La Celle-Saint-Cloud,20460,Yvelines,Île-de-France,48.848,2.136
Mitry-Mory,20456,Seine-et-Marne,Île-de-France,48.984,2.619
Chilly-Mazarin,20443,Essonne,Île-de-France,48.702,2.312
Beaune,20352,Côte-d'Or,Bourgogne-Franche-Comté,47.026,4.84
Lannion,20315,Côtes-d'Armor,Bretagne,48.732,-3.459
Fougères,20307,Ille-et-Vilaine,Bretagne,48.352,-1.204
L'Isle-sur-la-Sorgue,20244,Vaucluse,Provence-Alpes-Côte d'Azur,43.92,5.051
Grande-Synthe,20239,Nord,Hauts-de-France,51.014,2.302
Mont-Saint-Aignan,20165,Seine-Maritime,Normandie,49.46,1.08
Sarreguemines,20143,Moselle,Grand Est,49.11,7.07
Cahors,20050,Lot,Occitanie,44.447,1.441
Bruges,20020,Gironde,Nouvelle-Aquitaine,44.882,-0.613
