nom_standard,population,dep_nom,reg_nom,latitude_mairie,longitude_mairie
Puteaux,44002,Hauts-de-Seine,Île-de-France,48.884,2.238
Caluire-et-Cuire,43597,Rhône,Auvergne-Rhône-Alpes,45.797,4.842
Rezé,43556,Loire-Atlantique,Pays de la Loire,47.191,-1.569
Mantes-la-Jolie,43526,Yvelines,Île-de-France,48.989,1.715
Valenciennes,43468,Nord,Hauts-de-France,50.358,3.524
Anglet,43271,Pyrénées-Atlantiques,Nouvelle-Aquitaine,43.481,-1.515
Bagnolet,43086,Seine-Saint-Denis,Île-de-France,48.869,2.416
Bron,42982,Rhône,Auvergne-Rhône-Alpes,45.734,4.909
Châlons-en-Champagne,42971,Marne,Grand Est,48.956,4.363
Châteauroux,42963,Indre,Centre-Val de Loire,46.811,1.691
Arras,42875,Pas-de-Calais,Hauts-de-France,50.293,2.779
Thionville,42658,Moselle,Grand Est,49.358,6.168
Villenave-d'Ornon,42545,Gironde,Nouvelle-Aquitaine,44.783,-0.572
Castres,42505,Tarn,Occitanie,43.604,2.242
Bourg-en-Bresse,42372,Ain,Auvergne-Rhône-Alpes,46.205,5.225
Gagny,42313,Seine-Saint-Denis,Île-de-France,48.885,2.537
Le Cannet,41938,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.577,7.019
Angoulême,41908,Charente,Nouvelle-Aquitaine,45.648,0.156
Garges-lès-Gonesse,41791,Val-d'Oise,Île-de-France,48.972,2.401
Villepinte,41470,Seine-Saint-Denis,Île-de-France,48.964,2.534
Stains,41388,Seine-Saint-Denis,Île-de-France,48.955,2.382
Gap,41293,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.559,6.08
Poissy,40983,Yvelines,Île-de-France,48.927,2.043
Colomiers,40882,Haute-Garonne,Occitanie,43.611,1.335
Wattrelos,40847,Nord,Hauts-de-France,50.702,3.216
Draguignan,40826,Var,Provence-Alpes-Côte d'Azur,43.538,6.463
Compiègne,40761,Oise,Hauts-de-France,49.418,2.826
Montélimar,40595,Drôme,Auvergne-Rhône-Alpes,44.557,4.75
Boulogne-sur-Mer,40539,Pas-de-Calais,Hauts-de-France,50.725,1.613
Douai,40250,Nord,Hauts-de-France,50.368,3.08
Marcq-en-Barœul,40184,Nord,Hauts-de-France,50.673,3.094
Neuilly-sur-Marne,39800,Seine-Saint-Denis,Île-de-France,48.857,2.528
Le Lamentin,39400,Martinique,Martinique,14.615,-61.004
Saint-Joseph,39207,La Réunion,La Réunion,-21.379,55.619
